DATE,Income
01-01-1984,56780
01-01-1985,57860
01-01-1986,60010
01-01-1987,60760
01-01-1988,61210
01-01-1989,62260
01-01-1990,61500
01-01-1991,59710
01-01-1992,59210
01-01-1993,58920
01-01-1994,59550
01-01-1995,61440
01-01-1996,62350
01-01-1997,63640
01-01-1998,65980
01-01-1999,67650
01-01-2000,67470
01-01-2001,66360
01-01-2002,65820
01-01-2003,65860
01-01-2004,65760
01-01-2005,66780
01-01-2006,67520
01-01-2007,68610
01-01-2008,66280
01-01-2009,65850
01-01-2010,64300
01-01-2011,63350
01-01-2012,63350
01-01-2013,65740
01-01-2014,64900
01-01-2015,68410
01-01-2016,70840
01-01-2017,72090
01-01-2018,73030
01-01-2019,78250
01-01-2020,76660
01-01-2021,76330
01-01-2022,74580
