DATE,Recession
01-06-1967,0.8
01-07-1967,0.38
01-08-1967,0.02
01-09-1967,0.22
01-10-1967,0.08
01-11-1967,0
01-12-1967,0.08
01-01-1968,1.4
01-02-1968,0.08
01-03-1968,0.06
01-04-1968,0.02
01-05-1968,0.02
01-06-1968,0.02
01-07-1968,0.04
01-08-1968,0.08
01-09-1968,0.02
01-10-1968,0.02
01-11-1968,0
01-12-1968,0.04
01-01-1969,0.02
01-02-1969,0.02
01-03-1969,0.04
01-04-1969,0.1
01-05-1969,0.1
01-06-1969,0.06
01-07-1969,0.22
01-08-1969,0.34
01-09-1969,4.18
01-10-1969,6.72
01-11-1969,36.96
01-12-1969,40.62
01-01-1970,51.44
01-02-1970,40.94
01-03-1970,41.2
01-04-1970,44.42
01-05-1970,41.84
01-06-1970,39.64
01-07-1970,40.18
01-08-1970,57.62
01-09-1970,76.5
01-10-1970,85.4
01-11-1970,31.32
01-12-1970,0
01-01-1971,0.16
01-02-1971,1.42
01-03-1971,0.46
01-04-1971,0.04
01-05-1971,0.06
01-06-1971,0.2
01-07-1971,0.36
01-08-1971,0.26
01-09-1971,0
01-10-1971,0
01-11-1971,0
01-12-1971,0
01-01-1972,0
01-02-1972,0.04
01-03-1972,0
01-04-1972,0
01-05-1972,0
01-06-1972,0
01-07-1972,0.16
01-08-1972,0
01-09-1972,0.02
01-10-1972,0
01-11-1972,0
01-12-1972,0
01-01-1973,0
01-02-1973,0
01-03-1973,0.26
01-04-1973,0.3
01-05-1973,0.06
01-06-1973,0.06
01-07-1973,0
01-08-1973,0.14
01-09-1973,0.02
01-10-1973,0.08
01-11-1973,1.04
01-12-1973,29.98
01-01-1974,33.52
01-02-1974,27.6
01-03-1974,24.98
01-04-1974,24.22
01-05-1974,22.74
01-06-1974,35.24
01-07-1974,46.02
01-08-1974,78.3
01-09-1974,83.34
01-10-1974,93.46
01-11-1974,100
01-12-1974,100
01-01-1975,99.9
01-02-1975,99.78
01-03-1975,94.32
01-04-1975,17.46
01-05-1975,2.8
01-06-1975,0.76
01-07-1975,0.04
01-08-1975,0
01-09-1975,0.02
01-10-1975,0.02
01-11-1975,0.06
01-12-1975,0
01-01-1976,0.02
01-02-1976,0
01-03-1976,0.04
01-04-1976,0.02
01-05-1976,0.1
01-06-1976,0.02
01-07-1976,0.02
01-08-1976,0.04
01-09-1976,0.06
01-10-1976,0.1
01-11-1976,0
01-12-1976,0.04
01-01-1977,0.4
01-02-1977,0.02
01-03-1977,0
01-04-1977,0
01-05-1977,0
01-06-1977,0
01-07-1977,0.02
01-08-1977,0.02
01-09-1977,0
01-10-1977,0.02
01-11-1977,0.1
01-12-1977,1.12
01-01-1978,14.1
01-02-1978,0.08
01-03-1978,0
01-04-1978,0
01-05-1978,0.34
01-06-1978,0.14
01-07-1978,0.26
01-08-1978,0.02
01-09-1978,0.06
01-10-1978,0.04
01-11-1978,0.04
01-12-1978,0.16
01-01-1979,1.64
01-02-1979,0.82
01-03-1979,1.32
01-04-1979,31.12
01-05-1979,1.26
01-06-1979,1.52
01-07-1979,2.28
01-08-1979,2.32
01-09-1979,1.94
01-10-1979,1.78
01-11-1979,2.48
01-12-1979,3.76
01-01-1980,6.74
01-02-1980,40.42
01-03-1980,87.62
01-04-1980,99.78
01-05-1980,99.84
01-06-1980,88.5
01-07-1980,34.08
01-08-1980,0.48
01-09-1980,0
01-10-1980,0.02
01-11-1980,0.06
01-12-1980,0.6
01-01-1981,2.94
01-02-1981,2.66
01-03-1981,1.52
01-04-1981,1.56
01-05-1981,1.1
01-06-1981,1.3
01-07-1981,3.52
01-08-1981,48.88
01-09-1981,83.54
01-10-1981,93.88
01-11-1981,95.9
01-12-1981,95.96
01-01-1982,93.02
01-02-1982,11.76
01-03-1982,61.76
01-04-1982,73.6
01-05-1982,76.74
01-06-1982,80.06
01-07-1982,80.68
01-08-1982,79.42
01-09-1982,76.14
01-10-1982,73.2
01-11-1982,39.4
01-12-1982,16.62
01-01-1983,0.68
01-02-1983,1.9
01-03-1983,0.1
01-04-1983,0.04
01-05-1983,0.02
01-06-1983,0
01-07-1983,0
01-08-1983,0.16
01-09-1983,0
01-10-1983,0.02
01-11-1983,0.1
01-12-1983,0
01-01-1984,0
01-02-1984,0.04
01-03-1984,0
01-04-1984,0
01-05-1984,0
01-06-1984,0
01-07-1984,0.04
01-08-1984,0.06
01-09-1984,0.04
01-10-1984,0.04
01-11-1984,0.02
01-12-1984,0.06
01-01-1985,0.2
01-02-1985,0.06
01-03-1985,0.02
01-04-1985,0.24
01-05-1985,0.1
01-06-1985,0.32
01-07-1985,0.4
01-08-1985,0.1
01-09-1985,0.08
01-10-1985,0.1
01-11-1985,0.06
01-12-1985,0.04
01-01-1986,0.06
01-02-1986,0.42
01-03-1986,0.32
01-04-1986,0.06
01-05-1986,0.2
01-06-1986,0.38
01-07-1986,0.04
01-08-1986,0.06
01-09-1986,0
01-10-1986,0.1
01-11-1986,0.06
01-12-1986,0.02
01-01-1987,0.9
01-02-1987,0.02
01-03-1987,0.06
01-04-1987,0.08
01-05-1987,0.06
01-06-1987,0.06
01-07-1987,0
01-08-1987,0
01-09-1987,0.02
01-10-1987,0.04
01-11-1987,0.06
01-12-1987,0
01-01-1988,0.22
01-02-1988,0
01-03-1988,0
01-04-1988,0.08
01-05-1988,0.04
01-06-1988,0
01-07-1988,0.04
01-08-1988,0.06
01-09-1988,0.02
