DATE,S&P
01-01-1987,63.965
01-02-1987,64.424
01-03-1987,64.736
01-04-1987,65.132
01-05-1987,65.563
01-06-1987,66.071
01-07-1987,66.507
01-08-1987,66.938
01-09-1987,67.33
01-10-1987,67.739
01-11-1987,68.107
01-12-1987,68.506
01-01-1988,68.858
01-02-1988,69.263
01-03-1988,69.64
01-04-1988,69.977
01-05-1988,70.426
01-06-1988,70.889
01-07-1988,71.354
01-08-1988,71.799
01-09-1988,72.24
01-10-1988,72.635
01-11-1988,73.071
01-12-1988,73.466
01-01-1989,73.946
01-02-1989,74.382
01-03-1989,74.778
01-04-1989,75.086
01-05-1989,75.306
01-06-1989,75.479
01-07-1989,75.657
01-08-1989,75.835
01-09-1989,76.056
01-10-1989,76.283
01-11-1989,76.52
01-12-1989,76.705
01-01-1990,76.897
01-02-1990,77.053
01-03-1990,77.201
01-04-1990,77.279
01-05-1990,77.297
01-06-1990,77.259
01-07-1990,77.139
01-08-1990,77.009
01-09-1990,76.85
01-10-1990,76.699
01-11-1990,76.369
01-12-1990,76.185
01-01-1991,75.915
01-02-1991,75.734
01-03-1991,75.569
01-04-1991,75.565
01-05-1991,75.764
01-06-1991,75.993
01-07-1991,76.082
01-08-1991,76.109
01-09-1991,76.193
01-10-1991,76.074
01-11-1991,76.012
01-12-1991,76.056
01-01-1992,76.087
01-02-1992,76.156
01-03-1992,76.278
01-04-1992,76.347
01-05-1992,76.399
01-06-1992,76.332
01-07-1992,76.264
01-08-1992,76.231
01-09-1992,76.239
01-10-1992,76.377
01-11-1992,76.558
01-12-1992,76.674
01-01-1993,76.784
01-02-1993,76.837
01-03-1993,76.867
01-04-1993,76.936
01-05-1993,77.037
01-06-1993,77.243
01-07-1993,77.429
01-08-1993,77.613
01-09-1993,77.795
01-10-1993,77.942
01-11-1993,78.148
01-12-1993,78.326
01-01-1994,78.591
01-02-1994,78.727
01-03-1994,78.856
01-04-1994,78.988
01-05-1994,79.222
01-06-1994,79.423
01-07-1994,79.595
01-08-1994,79.782
01-09-1994,79.919
01-10-1994,80.065
01-11-1994,80.15
01-12-1994,80.296
01-01-1995,80.427
01-02-1995,80.528
01-03-1995,80.599
01-04-1995,80.661
01-05-1995,80.704
01-06-1995,80.785
01-07-1995,80.938
01-08-1995,81.11
01-09-1995,81.307
01-10-1995,81.482
01-11-1995,81.619
01-12-1995,81.737
01-01-1996,81.834
01-02-1996,81.953
01-03-1996,82.194
01-04-1996,82.421
01-05-1996,82.61
01-06-1996,82.752
01-07-1996,82.929
01-08-1996,83.086
01-09-1996,83.257
01-10-1996,83.377
01-11-1996,83.553
01-12-1996,83.722
01-01-1997,83.956
01-02-1997,84.181
01-03-1997,84.453
01-04-1997,84.623
01-05-1997,84.862
01-06-1997,85.08
01-07-1997,85.331
01-08-1997,85.573
01-09-1997,85.851
01-10-1997,86.147
01-11-1997,86.633
01-12-1997,87.093
01-01-1998,87.615
01-02-1998,88.003
01-03-1998,88.442
01-04-1998,88.879
01-05-1998,89.364
01-06-1998,89.845
01-07-1998,90.31
01-08-1998,90.786
01-09-1998,91.258
01-10-1998,91.717
01-11-1998,92.199
01-12-1998,92.712
01-01-1999,93.208
01-02-1999,93.672
01-03-1999,94.218
01-04-1999,94.785
01-05-1999,95.344
01-06-1999,95.975
01-07-1999,96.592
01-08-1999,97.219
01-09-1999,97.863
01-10-1999,98.523
01-11-1999,99.154
01-12-1999,99.845
01-01-2000,100.551
01-02-2000,101.339
01-03-2000,102.127
01-04-2000,102.922
01-05-2000,103.678
01-06-2000,104.424
01-07-2000,105.054
01-08-2000,105.768
01-09-2000,106.538
01-10-2000,107.382
01-11-2000,108.302
01-12-2000,109.14
01-01-2001,109.846
01-02-2001,110.5
01-03-2001,111.109
01-04-2001,111.652
01-05-2001,112.164
01-06-2001,112.796
01-07-2001,113.491
01-08-2001,114.167
01-09-2001,114.812
01-10-2001,115.31
01-11-2001,115.857
01-12-2001,116.455
01-01-2002,117.144
01-02-2002,117.845
01-03-2002,118.687
01-04-2002,119.611
01-05-2002,120.724
01-06-2002,121.813
01-07-2002,122.888
01-08-2002,123.83
01-09-2002,124.78
01-10-2002,125.735
01-11-2002,126.67
01-12-2002,127.624
01-01-2003,128.461
01-02-2003,129.355
01-03-2003,130.148
01-04-2003,130.884
01-05-2003,131.735
01-06-2003,132.649
01-07-2003,133.777
01-08-2003,134.969
01-09-2003,136.294
01-10-2003,137.531
01-11-2003,138.794
01-12-2003,140.179
01-01-2004,141.646
01-02-2004,143.192
01-03-2004,145.059
01-04-2004,146.593
01-05-2004,148.186
01-06-2004,149.85
01-07-2004,151.338
01-08-2004,152.633
01-09-2004,154.179
01-10-2004,155.75
01-11-2004,157.527
01-12-2004,159.33
01-01-2005,161.288
01-02-2005,163.344
01-03-2005,165.812
01-04-2005,167.501
01-05-2005,169.351
01-06-2005,171.19
01-07-2005,172.86
01-08-2005,174.442
01-09-2005,176.438
01-10-2005,178.028
01-11-2005,179.68
01-12-2005,180.91
01-01-2006,182.321
01-02-2006,183.287
01-03-2006,184.364
01-04-2006,184.329
01-05-2006,184.156
01-06-2006,183.507
01-07-2006,183.068
01-08-2006,182.594
01-09-2006,182.798
01-10-2006,183.198
01-11-2006,183.609
01-12-2006,184.139
01-01-2007,184.517
01-02-2007,184.598
01-03-2007,184.15
01-04-2007,183.01
01-05-2007,181.6
